Material description,Manufacturer,Rated power,Actual flow volume air/gas,"Pressure, static",
Centrifugal fan with housing,NADI,2.200 kW,"6,000.000 m3/h",625 Pa,
Centrifugal fan with housing,NADI,1.500 kW,"8,000.000 m3/h",350 Pa,
Centrifugal fan with housing,NADI,3.700 kW,"14,000.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,5.500 kW,"20,000.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,5.500 kW,"20,000.000 m3/h",550 Pa,
Centrifugal fan with housing,NADI,15.000 kW,"56,500.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,15.000 kW,"60,000.000 m3/h",500 Pa,
Centrifugal fan with housing,NADI,18.500 kW,"71,300.000 m3/h",600 Pa,
Centrifugal fan with housing,NADI,30.000 kW,"90,000.000 m3/h",750 Pa,
Centrifugal fan with housing,NADI,110.000 kW,"143,500.000 m3/h","1,700 Pa",
Centrifugal fan with housing,NADI,132.000 kW,"165,500.000 m3/h","1,900 Pa",
Centrifugal fan with housing,NADI,132.000 kW,"152,000.000 m3/h","1,700 Pa",
Centrifugal fan with housing,NADI,37.000 kW,"12,510.000 m3/h","7,000 Pa",
Centrifugal fan with housing,NADI,110.000 kW,"24,160.000 m3/h","10,000 Pa",
Centrifugal fan with housing,NADI,132.000 kW,"165,500.000 m3/h","1,900 Pa",
Centrifugal fan with housing,NADI,132.000 kW,"139,000.000 m3/h","2,000 Pa",
Centrifugal fan with housing,NADI,132.000 kW,"139,000.000 m3/h","2,000 Pa",
Centrifugal fan with housing,NADI,160.000 kW,"182,000.000 m3/h","1,900 Pa",
Centrifugal fan with housing,NADI,160.000 kW,"182,000.000 m3/h","1,900 Pa",
Centrifugal fan with housing,NADI,22.000 kW,"53,000.000 m3/h",900 Pa,
Centrifugal fan with housing,NADI,90.000 kW,"125,000.000 m3/h","1,700 Pa",
Centrifugal fan with housing,HYGIENIC AIR,75.000 kW,"93,000.000 m3/h","1,550 Pa",
Centrifugal fan with housing,HYGIENIC AIR,22.000 kW,"60,100.000 m3/h",800 Pa,
Centrifugal fan with housing,HYGIENIC AIR,3.700 kW,"7,500.000 m3/h",800 Pa,
Centrifugal fan with housing,HYGIENIC AIR,11.000 kW,"26,800.000 m3/h",800 Pa,
Centrifugal fan with housing,HYGIENIC AIR,1.500 kW,"3,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,1.500 kW,"4,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"6,000.000 m3/h",550 Pa,
Centrifugal fan with housing,NADI,2.200 kW,"4,000.000 m3/h","1,000 Pa",
Centrifugal fan with housing,HYGIENIC AIR,1.500 kW,"5,300.000 m3/h",550 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"6,000.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"7,500.000 m3/h",600 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"8,000.000 m3/h",550 Pa,
Centrifugal fan with housing,HYGIENIC AIR,2.200 kW,"8,000.000 m3/h",500 Pa,
Centrifugal fan with housing,HYGIENIC AIR,7.500 kW,"18,000.000 m3/h",750 Pa,
